"section","exercise_number","mode","exercise_text","graphic","a-C++","b-C++","c-C++","d-C++","e-C++","f-C++","a-C","b-C","c-C","d-C","e-C","f-C","a-Pascal","b-Pascal","c-Pascal","d-Pascal","e-Pascal","f-Pascal"
"Varianta 1","1.11.","Dual","Fie antetul funcției mini:
\begin{verbatim}
Limbajul C++/ Limbajul C
int mini (int x, int y)
Limbajul Pascal
function mini(x,y : integer): integer;
\end{verbatim}
care returnează minimul dintre valorile variabilelor $\mathbf{x}$ și $\mathbf{y}$. Precizați instrucțiunea prin care se înlocuiesc punctele de suspensie, astfel încât la finalul executării secvenței de mai jos, să se afișeze minimul dintre elementele tabloului unidimensional $\mathbf{v}$, care are 30 de elemente întregi aflate pe pozițiile $1,2, \ldots, 30$.
\begin{verbatim}
Limbajul C++/ Limbajul C
c = mini(v[1], v[2]);
for(i=3; i<=30; i++)
.........................
cout<<c; | printf(""%d"",c);

Limbajul Pascal
c :=mini(v[1],v[2]);
for i :=3 to 30 do
........................
writeln(c);
\end{verbatim}","N/A","\begin{verbatim}
c =mini(v[i],v[i+1]);
\end{verbatim}","\begin{verbatim}
c =mini(mini(v[i],v[1]),v[i+1]);
\end{verbatim}","\begin{verbatim}
c =mini(c, v[i]);
\end{verbatim}","\begin{verbatim}
c =mini(v[1], v[i]);
\end{verbatim}","\begin{verbatim}
c =mini(v[i], v[i-1]);
\end{verbatim}","\begin{verbatim}
c =mini(c, v[30]);
\end{verbatim}","\begin{verbatim}
c =mini(v[i],v[i+1]);
\end{verbatim}","\begin{verbatim}
c =mini(mini(v[i],v[1]),v[i+1]);
\end{verbatim}","\begin{verbatim}
c =mini(c, v[i]);
\end{verbatim}","\begin{verbatim}
c =mini(v[1], v[i]);
\end{verbatim}","\begin{verbatim}
c =mini(v[i], v[i-1]);
\end{verbatim}","\begin{verbatim}
c =mini(c, v[30]);
\end{verbatim}","\begin{verbatim}
c:=mini(v[i],v[i+1]);
\end{verbatim}","\begin{verbatim}
c:=mini(mini(v[i],v[1]),v[i+1]);
\end{verbatim}","\begin{verbatim}
c:=mini(c, v[i]);
\end{verbatim}","\begin{verbatim}
c:=mini(v[1], v[i]);
\end{verbatim}","\begin{verbatim}
c:=mini(v[i], v[i-1]);
\end{verbatim}","\begin{verbatim}
c:=mini(c, v[30]);
\end{verbatim}"
"Varianta 1","1.12.","Single","Precizați ce va conține variabila s după executarea următoarei secvențe de instrucțiuni.
\begin{verbatim}
Limbajul C++/ Limbajul C
char s[30]=""AdmiTerE"";
int i;
for (i=0; i<strlen(s); i++)
    if (s[i]>='A' && s[i]<='Z')
            s[i]=s[i]+32;
        else
            strcpy(s+i, s+i+1);
cout<<s; | printf(""%s"", s);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
var s: string[29];
    i: integer;
s:='AdmiTerE' ;
for i:=1 to length(s) do
    if s[i] in ['A'..'Z'] then
            s[i] := chr(ord(s[i])+32)
        else
            delete(s,i,1);
write(s);
\end{verbatim}","N/A","ate","amtre","amre","aTe","amTr","are","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 1","1.13.","Dual","Pentru următoarele declarări:
\begin{verbatim}
Limbajul C++/ Limbajul C
typedef struct {
    char nume[20];
    int nr;
    int nota[15];
} elev;
elev e[28], x;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
type elev = record
    nume : string[19];
    nr : integer;
    nota : array[1..14] of integer;
end;
var e: array[1..27] of elev;
x: elev;
\end{verbatim}
precizați care dintre următoarele instrucțiuni este corectă din punct de vedere sintactic.","N/A","e[10]=x;","e[10]=x.nr;","e[10]= e.nota[10];","elev. nota[5] = 7;","x.nota = x.nota+1;","x.nr=x.nota;","e[10]=x;","e[10]=x.nr;","e[10]= e.nota[10];","elev. nota[5] = 7;","x.nota = x.nota+1;","x.nr=x.nota;","e[10] := x;","e[10] := x.nr;","e[10] := e.nota[10];","elev. nota[5] := 7;","x. nota := x. nota +1;","x.nr := x.nota;"
"Varianta 1","1.14.","Single","Precizați câte grafuri neorientate distincte, cu 6 noduri, numerotate de la 1 la 6 , se pot construi, astfel încât nodul 2 să aibă gradul 1. Două grafuri sunt distincte dacă matricele lor de adiacență sunt diferite.","N/A","46","256","$6!$","1024","2345","5120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 1","1.15.","Single","Pentru funcția $\mathbf{g}$ definită mai jos, precizați valoarea care se returnează în urma apelului g(2,1).
\begin{verbatim}
Limbajul C++/ Limbajul C
int g(int x, int y)
{ if (x > 0)
    { if (y == 0) return g(x-1,1);
        if (y > 0) return g(x-1, g(x,y-1));
        }
return y+1;
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function g(x,y: integer): integer;
begin
if x>0 then begin
        if y=0 then g:=g(x-1,1);
    if y>0 then g:=g(x-1,g(x,y-1));
            end
    else g:=y+1;
end;
\end{verbatim}","N/A","3","4","5","6","7","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.1.","Single","Precizați ce se va afișa pe ecran în urma executării următoarelor instrucțiuni.
\begin{verbatim}
Limbajul C++/ Limbajul C
for(i=1; i<=5; i++)
    for(j=5; j>=i; j--)
        if (i%2==0) cout<<i;
                    | printf(""%d"",i);
            else cout<<j;
                | printf(""%d"",j);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
for i :=1 to 5 do
    for j :=5 downto i do
        if i mod 2 = 0 then write(i)
            else write(j);
\end{verbatim}","N/A","12345","111115432333545","543212222543445","122333444455555","12334445555","23344455554443","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.2.","Dual","Se consideră expresia:
\begin{verbatim}
Limbajul C++/ Limbajul C
!((x<=y && x>=z) || x<=t)
Limbajul Pascal
not(((x<=y) and (x>=z)) or (x<=t))
\end{verbatim}
Precizați care expresie este echivalentă cu expresia dată.","N/A","x<=y || x>=z && x<=t","x>y || x<z && x>t","x>y && x<z || x>t","(x>y || x<z) && x>t","x>y || x<z && x<=t","x>=y && x<=z || x>t","x<=y || x>=z && x<=t","x>y || x<z && x>t","x>y && x<z || x>t","(x>y || x<z) && x>t","x>y || x<z && x<=t","x>=y && x<=z || x>t","(x<=y) or (x>=z) and (x<=t)","(x>y) or (x<z) and (x>t)","(x>y) and (x<z) or (x>t)","((x>y) or (x<z)) and (x>t)","(x>y) or (x<z) and (x<=t)","(x>=y) and (x<=z) or (x>t)"
"Varianta 2","2.3.","Dual","Un tablou bidimensional a, cu n linii și n coloane numerotate de la $\mathbf{1}$ la n, este simetric față de diagonala secundară dacă pentru orice pereche de indici $(i, j)$ este adevărată expresia:","N/A","a[i][j]==a[j][i]","a[i][i]==a[n+1-j][n+1+i]","a[i][j]==a[n+1-i][n+1-j]","a[i][j]==a[n-j][n-i]","a[i][j]==a[n+1-j][n+1-i]","a[i][j]==a[n+j][n-i]","a[i][j]==a[j][i]","a[i][i]==a[n+1-j][n+1+i]","a[i][j]==a[n+1-i][n+1-j]","a[i][j]==a[n-j][n-i]","a[i][j]==a[n+1-j][n+1-i]","a[i][j]==a[n+j][n-i]","a[i, j]=a[j, i]","a[i, i]=a[n+1-j, n+1+i]","a[i, j]=a[n+1-i, n+1-j]","a[i, j]=a[n-j, n-i]","a[i, j]=a[n+1-j, n+1-i]","a[i, j]=a[n+j, n-i]"
"Varianta 2","2.4.","Single","Precizați ce valoare are variabila b de tip șir de caractere după executarea secvenței:
\begin{verbatim}
Limbajul C++/ Limbajul C
char b[ ]=""toc2019"";
b[3]=b[3]-1;
strcpy(b+5,b+7);
strcpy(b,b+3) ;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
var b: string[30];
b:= 'toc2019';
b[4]:= chr(ord(b[4])-1);
delete(b,6,2);
delete(b,1,3);
\end{verbatim}","N/A","b20","19","20","10","toc","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.5.","Single","Se consideră tipul de date punct, ce memorează abscisa și ordonata unui punct din plan și tipul de date segment ce memorează două puncte distincte reprezentând extremitățile unui segment din plan. Precizați care dintre următoarele expresii are ca valoare ordonata mijlocului segmentului corespunzător variabilei $\mathbf{s}$ de tip segment.
\begin{verbatim}
Limbajul C++/ Limbajul C
typedef struct
    { float x, y;}punct;
typedef struct
    {punct A, B;}segment;
segment s;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
type punct=record
    x, y: real;
        end;
type segment=record
    A, B: punct;
        end;
var s: segment;
\end{verbatim}","N/A","(A.x+B.x) / 2","(A.s.y+B.s.y)/2","(s.y+s.y) / 2","(A.x+B.y) / 2","(s.A.x+s.B.x)/2","(s.A.y+s.B.y) / 2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.6.","Single","Utilizând metoda backtracking se generează toate tablourile bidimensionale pătratice de ordin $\mathbf{n}$ ale căror elemente aparțin mulțimii ${0,1}$, cu proprietatea că pe fiecare linie și pe fiecare coloană există $\mathbf{0}$ singură valoare 1 . Dacă $\mathbf{n}=\mathbf{3}$ tablourile bidimensionale sunt generate în ordinea următoare:
\begin{verbatim}
100 100 010 010 001 001
010 001 100 001 100 010
001 010 001 100 010 100
\end{verbatim}
Dacă n =4, precizați care este tabloul bidimensional generat imediat după tabloul bidimensional:
\begin{verbatim}
0010
1000
0001
0100
\end{verbatim}","N/A","\begin{verbatim}
0010
1000
0100
0001
\end{verbatim}","\begin{verbatim}
0010
0100
1000
0001
\end{verbatim}","\begin{verbatim}
0001
1000
0010
0100
\end{verbatim}","\begin{verbatim}
0010
0001
1000
0100
\end{verbatim}","\begin{verbatim}
0001
0010
0100
1000
\end{verbatim}","\begin{verbatim}
1000
0010
0100
0001
\end{verbatim}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.7.","Single","Pentru definiția de mai jos a subprogramului nr , stabiliți ce valoare returnează apelul $\mathrm{nr}(6,3)$.
\begin{verbatim}
Limbajul C++/ Limbajul C
int nr(int x, int y)
{   int a, t;
    if (x==y || y==1) return 1;
    if (x<y) return 0;
    a=0;
    for(t=1; t<=y; t++)
        a=a+nr(x-y,t);
    return a;
}
Limbajul Pascal
function nr(x,y:integer): integer;
var a, t: integer;
begin
if (x=y) or (y=1) then nr := 1
    else if x<y then nr := 0
        else begin
            a := 0;
            for t := 1 to y do
                a :=a+nr(x-y,t);
                nr := a;
            end;
end;
\end{verbatim}","N/A","0","1","2","3","4","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.8.","Single","Se consideră un arbore cu 10 noduri, numerotate de la 1 la 10 având vectorul de tați următor （0, 1, 1, 1, 3, 3, 3, 4, 7, 7) . Descendenții nodului 3 sunt:","N/A","5,6,7","5,6,7,9,10","4,5,6,7,8,9,10","6,7","4,5,6","4,7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.9.","Single","Știind că inițial variabilele întregi $\mathbf{x}$ și $\mathbf{y}$ au valorile 1 și respectiv 2 , stabilițic care sunt valorile lor după apelul $\mathbf{F}(\mathbf{x}, \mathbf{y})$ (pentru variantele în limbajele C++ sau Pascal) respectiv $\mathbf{F}(\& \mathbf{x}, \mathbf{y})$ (pentru varianta în limbajul C):
\begin{verbatim}
Limbajul C++
void F( int &x, int y)
{
    x=2; y=3;
}
\end{verbatim}
\begin{verbatim}
Limbajul C
void F( int *x, int y)
{
    *x=2; y=3;
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
procedure F(var x:integer; y: integer);
begin
    x:=2; y:=3;
end;
\end{verbatim}","N/A","3 2","1 2","1 1","2 3","2 2","3 3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.10.","Single","Se consideră un graf neorientat cu 8 noduri numerotate de la 1 la 8 și următoarele muchii: $[1,7],[1,8],[3,4],[3,5],[3,6],[3,7],[4,7],[5,6],[5,8],[6,7],[6,8],[7,8]$. Precizați care este numărul minim de culori cu care pot fi colorate nodurile grafului, astfel încât oricare două noduri adiacente să aibă culori diferite.","N/A","1","2","3","4","6","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.11.","Single","Numărul maxim de muchii dintr-un graf neorientat cu 16 noduri și 7 componente conexe este:","N/A","15","18","23","25","36","45","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.12.","Dual","Se consideră un șir de caractere c de lungime maximă 20 , ce conține cel puțin un caracter 'd'. Precizați care dintre următoarele secvențe afișează poziția primei apariții a lui 'd' în șirul de catactere $\mathbf{c}$.","N/A","cout<<strchr (c, 'd')-c; | printf(""\%d"", strchr(c, 'd')-c );","cout<<strrchr(c, 'd'); | printf(""\%d"", strrchr(c, 'd'));","cout<<strchr (c, 'd')-c-1; | printf(""\%d"", strchr(c, 'd')-c-1 );","cout<<strchr(c, 'd'); | printf(""\%d"", strchr(c, 'd'));","cout<<strchr (c, 'd')-c+2; | printf(""\%d"", strchr(c, 'd')-c+2 );","cout<<strchr (c, 'd-c'); | printf(""\%d"", strchr(c, 'd-c'));","cout<<strchr (c, 'd')-c; | printf(""\%d"", strchr(c, 'd')-c );","cout<<strrchr(c, 'd'); | printf(""\%d"", strrchr(c, 'd'));","cout<<strchr (c, 'd')-c-1; | printf(""\%d"", strchr(c, 'd')-c-1 );","cout<<strchr(c, 'd'); | printf(""\%d"", strchr(c, 'd'));","cout<<strchr (c, 'd')-c+2; | printf(""\%d"", strchr(c, 'd')-c+2 );","cout<<strchr (c, 'd-c'); | printf(""\%d"", strchr(c, 'd-c'));","write(pos('d',c));","write(pos(c,'d'));","write(pos(c,'d')-1);","write(substr(c,'d'));","write(pos(c,'d')+2);","write(substr(c,'d-c'));"
"Varianta 2","2.13.","Single","Precizați ce valoare are variabilade tip întreg a după executarea următoarei secvențe de instrucțiuni.
\begin{verbatim}
Limbajul C++/ Limbajul C
a=2019;
for(x=1; x<=5; x++);
a=a+2;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
a: = 2019;
for x:=1 to 5 do;
a: =a+2;
\end{verbatim}","N/A","2019","2020","2021","2024","2027","2029","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.14.","Single","O clasă de 30 de elevi este la ora de informatică și profesorul dorește să formeze o echipă de 5 elevi. El îi cere unui elev să-i genereze toate posibilitățile de a forma o grupă de 5 elevi din acea clasă. Această problemă este similară cu generarea tuturor:","N/A","elementelor produsului cartezian $\mathrm{A}^{5}$, A fiind o mulțime cu 30 de elemente","partițiilor unei mulțimi","aranjamentelor de 30 de elemente luate câte 5","permutărilor de 5 elemente","combinărilor de 30 de elemente luate câte 5","submulțimilor de 5 elemente din mulțimea A, A fiind o mulțime cu 30 de elemente","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 2","2.15.","Single","Se consideră următoarea funcție recursivă:
\begin{verbatim}
Limbajul C++/ Limbajul C
int s(int t)
{ if (t == 1) return 0;
    else
        if (t == 2) return 1;
        else
            return s(t-2) + s(t-1); }
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function s(t : integer) : integer;
    begin
        if t = 1 then s := 0
            else
                if t = 2 then s := 1
                    else
                        s:=s(t-2)+s(t-1);
end;
\end{verbatim}
Dacă apelul inițial nu se ia în considerare, precizați câte autoapeluri vor fi făcute pentru apelul $\mathrm{s}(6)$.","N/A","4","6","8","10","11","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
